tehsil,markaz,name,gender,level,category,lat,lng
KHUSHAB,KHUSHAB SADAR (MALE),38210189 - GPS RONAQ PURA,Male,Primary,SED,32.304074,72.359556
KHUSHAB,JAUHARABAD EAST (MALE),38210190 - GPS SAGHRALI,Male,Primary,SED,32.389286,72.243238
KHUSHAB,KHUSHAB SADAR (MALE),38210191 - GPS SHAHANAN WALA KHUSHAB,Male,Primary,SED,32.284966,72.344499
KHUSHAB,KATHA SAGRAL EAST (MALE),38210192 - GPS THATHI SANDRAL,Male,Primary,SED,32.352088,72.412136
KHUSHAB,KHUSHAB SOUTH (MALE),38210193 - GPS UMER TAJPURA KHUSHAB,Male,Primary,SED,32.3048,72.364916
KHUSHAB,JAUHARABAD EAST (MALE),38210195 - GPS WAHEER SHARQI,Male,Primary,SED,32.416291,72.285572
KHUSHAB,KHUSHAB SADAR (MALE),38210197 - GPS MC NO. 2 KHUSHAB,Male,Primary,SED,32.2952,72.351431
KHUSHAB,KHUSHAB SADAR (MALE),38210198 - GPS MC NO. 3 KHUSHAB MOHALLAH HAKIMAN WALA,Male,Primary,SED,32.291781,72.354404
KHUSHAB,KHUSHAB SADAR (MALE),38210200 - GPS MC NO. 5 KHUSHAB,Male,Primary,SED,32.292274,72.346467
KHUSHAB,MITHA TIWANA EAST (MALE),38210253 - GPS BILOO FARM,Male,Primary,SED,32.16447,72.20473
KHUSHAB,JAUHARABAD EAST (MALE),38210254 - GPS CHAK NO 57 MB,Male,Primary,SED,32.367545,72.340606
KHUSHAB,JAUHARABAD SOUTH (MALE),38210255 - GES CHAK NO 39 MB,Male,Middle,SED,32.1268549,72.2272214
KHUSHAB,MITHA TIWANA SADAR (MALE),38210256 - GPS CHAK NO 44 MB,Male,Primary,SED,32.22091,72.19629
KHUSHAB,MITHA TIWANA EAST (MALE),38210257 - GPS CHAK NO 45 MB,Male,Primary,SED,32.20396,72.22072
KHUSHAB,JAUHARABAD SOUTH (MALE),38210258 - GES CHAK NO 46 MB,Male,Middle,SED,32.2140049,72.229554
KHUSHAB,MITHA TIWANA SADAR (MALE),38210259 - GPS CHAK NO 48 MB,Male,Primary,SED,32.24507,72.20561
KHUSHAB,MITHA TIWANA SADAR (MALE),38210260 - GPS CHAK NO 49 MB,Male,Primary,SED,32.23619,72.22639
KHUSHAB,MITHA TIWANA EAST (MALE),38210261 - GPS CHAK NO 50 MB,Male,Primary,SED,32.2184,72.24265
KHUSHAB,JAUHARABAD SOUTH (MALE),38210262 - GPS CHAK NO 51 MB,Male,Primary,SED,32.23419,72.26337
KHUSHAB,JAUHARABAD SOUTH (MALE),38210263 - GPS CHAK NO 52 MB (ASP),Male,Primary,SED,32.245133,72.2646
KHUSHAB,JAUHARABAD SOUTH (MALE),38210264 - GPS CHAK NO 53 MB,Male,Primary,SED,32.24849,72.27142
KHUSHAB,JAUHARABAD EAST (MALE),38210265 - GPS CHAK NO. 58 MB,Male,Primary,SED,32.356721,72.357547
KHUSHAB,JAUHARABAD SADAR (MALE),38210268 - GPS CHAK NO 62 MB,Male,Primary,SED,32.327306,72.292495
KHUSHAB,JAUHARABAD EAST (MALE),38210269 - GES CHAK NO 63 MB,Male,Middle,SED,32.31614,72.287396
KHUSHAB,JAUHARABAD SOUTH (MALE),38210270 - GPS DERA MOLADAD,Male,Primary,SED,32.19015,72.23753
KHUSHAB,MITHA TIWANA WEST (MALE),38210271 - GPS DERA SARDAR KHAN MAHIL,Male,Primary,SED,32.16995,72.15809
KHUSHAB,JAUHARABAD SOUTH (MALE),38210272 - GPS DERA TIRKHANAN WALA,Male,Primary,SED,32.26465,72.27562
KHUSHAB,KHUSHAB SOUTH (MALE),38210274 - GPS GIROTE BALA,Male,Primary,PSRP-I,32.084102,72.264037
KHUSHAB,KHUSHAB SOUTH (MALE),38210276 - GPS GOGO CHAKI (ASP),Male,Primary,SED,32.110505,72.317697
KHUSHAB,KHUSHAB SOUTH (MALE),38210278 - GPS JHUGAIN SHEIKHWAL,Male,Primary,PSRP-I,32.117577,72.318835
KHUSHAB,JAUHARABAD SOUTH (MALE),38210280 - GPS NO. 1 JOYIA,Male,Primary,SED,32.19598,72.29594
KHUSHAB,JAUHARABAD SOUTH (MALE),38210281 - GPS NO. 2 JOYIA,Male,Primary,SED,32.20205,72.29682
KHUSHAB,JAUHARABAD SADAR (MALE),38210282 - GPS JOYIA WALA CHAK NO. 63 MB,Male,Primary,SED,32.3103,72.2992
KHUSHAB,KHUSHAB SOUTH (MALE),38210283 - GPS KOTLA JAGIR,Male,Primary,PSRP-II,32.1250176,72.272093
KHUSHAB,KHUSHAB SADAR (MALE),38210284 - GES KURPALKA,Male,Middle,SED,32.245542,72.315017
KHUSHAB,KHUSHAB SOUTH (MALE),38210286 - GPS MEHLIAN,Male,Primary,PSRP-II,32.152873,72.282633
KHUSHAB,KHUSHAB SOUTH (MALE),38210287 - GPS MANGOOR,Male,Primary,SED,32.2612204,72.3250596
KHUSHAB,KHUSHAB SOUTH (MALE),38210289 - GPS MUHIB PUR GHARBI,Male,Primary,SED,32.1363596,72.2769039
KHUSHAB,JAUHARABAD SOUTH (MALE),38210290 - GPS MUHAMMAD SHAH,Male,Primary,SED,32.233365,72.310954
KHUSHAB,JAUHARABAD SADAR (MALE),38210292 - GPS NO. 2 JAUHARABAD,Male,Primary,SED,32.296917,72.279048
KHUSHAB,KHUSHAB SOUTH (MALE),38210295 - GPS RANGPUR KADHI,Male,Primary,PSRP-I,32.10555,72.26401
KHUSHAB,MITHA TIWANA EAST (MALE),38210296 - GPS SHAH AJMAL GIROTE,Male,Primary,PSRP-I,32.0667,72.2673
KHUSHAB,KHUSHAB SOUTH (MALE),38210297 - GPS SHAHBAZIAN WALA,Male,Primary,PSRP-II,32.166338,72.292775
KHUSHAB,MITHA TIWANA EAST (MALE),38210298 - GPS SHAHEEN COLONY,Male,Primary,SED,32.18857,72.21453
KHUSHAB,JAUHARABAD EAST (MALE),38210299 - GPS SHIWALA,Male,Primary,SED,32.330276,72.364326
KHUSHAB,KHUSHAB SADAR (MALE),38210301 - GPS THATHI GHANJERA,Male,Primary,SED,32.218828,72.298736
KHUSHAB,KHUSHAB SOUTH (MALE),38210302 - GPS TIBBA QAIM DIN,Male,Primary,SED,32.1519343,72.2872655
KHUSHAB,MITHA TIWANA EAST (MALE),38210303 - GPS WASOO,Male,Primary,SED,32.07505,72.26809
KHUSHAB,JAUHARABAD SOUTH (MALE),38210304 - GPS ZAKIR ABAD,Male,Primary,SED,32.1616416,72.2471425
KHUSHAB,KATHA SAGRAL WEST (MALE),38210369 - GPS AAJRIAN WALA,Male,Primary,PSRP-I,32.475667,72.363929
KHUSHAB,KHUSHAB NORTH (MALE),38210370 - GPS AL MURTAZA RAJAR,Male,Primary,SED,32.39288,72.48696
KHUSHAB,KATHA SAGRAL WEST (MALE),38210371 - GPS ARRARA,Male,Primary,PSRP-II,32.55622,72.37263
KHUSHAB,KATHA SAGRAL EAST (MALE),38210372 - GPS BANSI,Male,Primary,PSRP-I,32.4263651,72.5667059
KHUSHAB,KATHA SAGRAL EAST (MALE),38210373 - GPS BALWAL,Male,Primary,PSRP-I,32.4361445,72.5902591
KHUSHAB,KATHA SAGRAL WEST (MALE),38210374 - GPS BHUTTIAN WALA,Male,Primary,SED,32.46708,72.35273
KHUSHAB,KATHA SAGRAL EAST (MALE),38210375 - GPS CHAK 65 MB,Male,Primary,SED,32.42041,72.45289
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210377 - GPS CHHAB,Male,Primary,PSRP-I,32.620061,72.525761
KHUSHAB,KATHA SAGRAL EAST (MALE),38210381 - GPS DERA ALLAH BAKHSH DHAK,Male,Primary,PSRP-I,32.4472597,72.5204754
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210382 - GPS DERA BAKHWAL KATHA SAGHRAL,Male,Primary,SED,32.53772,72.468385
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210383 - GPS DERA BURHAN WALA,Male,Primary,PSRP-II,32.525611,72.538116
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210384 - GPS DERA GUNADHA KATHA SAGHRAL,Male,Primary,PSRP-II,32.5,72.48
KHUSHAB,KHUSHAB NORTH (MALE),38210385 - GPS DERA HAITAM KHAN,Male,Primary,SED,32.397992,72.419102
KHUSHAB,KATHA SAGRAL WEST (MALE),38210386 - GPS DERA JALKIAL,Male,Primary,SED,32.43819,72.36984
KHUSHAB,JAUHARABAD NORTH (MALE),38210387 - GPS DERA KANDAN,Male,Primary,PSRP-II,32.40043,72.345977
KHUSHAB,KHUSHAB NORTH (MALE),38210389 - GPS DERA KHIZAR HAYAT,Male,Primary,SED,32.39978,72.50291
KHUSHAB,KATHA SAGRAL WEST (MALE),38210390 - GPS DERA LUNDOO,Male,Primary,SED,32.425058,72.339017
KHUSHAB,KATHA SAGRAL EAST (MALE),38210391 - GPS DERA MEHRAY WALA JASWAL,Male,Primary,PSRP-I,32.476397,72.605591
KHUSHAB,KATHA SAGRAL EAST (MALE),38210392 - GPS DERA MIAN KHAN TALOKAR,Male,Primary,PSRP-II,32.443923,72.502483
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210394 - GPS DERA WARIS,Male,Primary,PSRP-I,32.555098,72.56267
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210396 - GPS DHERI,Male,Primary,PSRP-I,32.642784,72.491384
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210397 - GPS DHOK ALLAH BAKSHS,Male,Primary,PSRP-I,32.555831,72.563923
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210399 - GPS DHOK MEHRWAL,Male,Primary,SED,32.57132,72.54998
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210400 - GPS DHOK PIRHAL,Male,Primary,SED,32.570312,72.51034
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210401 - GPS DHOK SANGHAY,Male,Primary,SED,32.539081,72.485793
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210402 - GPS DHOK JHAGRA,Male,Primary,PSRP-II,32.547267,72.522578
KHUSHAB,KATHA SAGRAL WEST (MALE),38210403 - GPS FAZAL HAQ KALRI KHUSHAB,Male,Primary,PSRP-I,32.549917,72.352793
KHUSHAB,KATHA SAGRAL EAST (MALE),38210405 - GPS RAJA MUHAMMAD QASIM MEHBOOB SHAHEED,Male,Primary,SED,32.4068654,72.5200623
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210407 - GPS KADHAR,Male,Primary,PSRP-I,32.64398,72.47599
